"";"1";"2";"3";"4";"5";"9"
"Amarela";8;493;144;184;1436;103
"Branca";525;26832;10036;13606;105387;5150
"Indígena";23;1410;267;385;3880;237
"Parda";3535;149796;45996;49518;333735;28027
"Preta";353;10239;2974;2954;17982;1638
